# wikidata_stupas_q180987.csv — Wikidata Q180987 stupa corpus
# DO NOT HAND-EDIT. Regenerate with: python3 data/fetch_wikidata_q180987.py --fetch
# Generated: 2026-04-02T17:04:37Z
# Source: https://query.wikidata.org/sparql
# Query: SELECT DISTINCT ?item (P31/P279* wd:Q180987) with P625 coords
# Filters: none (global, no longitude/date/label filter)
# N = 229
qid,name,lat,lon,country
Q1456671,Peace Stupa Zalaszántó,46.89722222,17.2175,Hungary
Q889902,Boudhanath,27.721389,85.361944,Nepal
Q97308996,Ancient Bricks stupa at Elephanta Island,18.96728505,72.93620957,India
Q96381324,"Htupayon Pagoda, Mrauk U",20.603124214,93.192948142,Myanmar
Q51670280,Thul Mir Rukan,26.454477777,68.106638888,Pakistan
Q3929494,Lankarama,8.36666667,80.38333333,Sri Lanka
Q11157349,Arjuna Temple,-7.2050892,109.9068403,Indonesia
Q97945982,Buddhist stupas and remains,23.41119722,77.90719722,India
Q56982375,Chaitru Stupa,32.16018128,76.28838357,India
Q13017469,Q13017469,13.105482,99.946658,Thailand
Q66050228,Stúpa osvícení,49.631902,13.634574,Czech Republic
Q97946880,Buddhist stupas along with saru-maru monastric complex,22.72966299,77.520595,India
Q1985137,Dhamek Stupa,25.3808,83.0245,India
Q3511815,Phra That Si Song Rak,17.269952,101.142454,Thailand
Q1961579,Jetavanaramaya,8.351667,80.403611,Sri Lanka
Q4466863,That Dam,17.966,102.611,Laos
Q97945985,Stupa and other remains,23.48707778,77.65158611,India
Q17351111,Maha Stupa at Amaravati,16.5755441,80.3566256,India
Q100989576,"World Peace Pagoda, Lumbini",27.498,83.274,Nepal
Q30174256,Charumati Stupa,27.715894444,85.345872222,Nepal
Q97946883,"Painted Rock Shelters, Buddhist stupas and other remains",22.79795556,77.65578611,India
Q864865,Memorial Chorten,27.46638889,89.63777778,Bhutan
Q85850329,Chaneti Buddhist Stupa,30.166621,77.340696,India
Q16141509,Phra That Chom Phet,13.107672,99.938303,Thailand
Q14754197,Phra Borom That Nimit Chedi,20.24493,100.10084,Thailand
Q121059540,Enlightenment Stupa,47.918729,19.382093,Hungary
Q11112539,Bajang Ratu,-7.5677409,112.3987632,Indonesia
Q120712851,"Stupa, Sándor Kőrösi Csoma Memorial Park, Tar",47.9637777,19.7423747,Hungary
Q129770041,Stupa of Enlightment in Manychsky,46.411329,42.353822,Russia
Q665576,Candi Tegowangi,-7.7346631,112.1611311,Indonesia
Q136696280,Chedi Ku Chang,18.586921982,99.017937268,Thailand
Q3056333,Kimpulan Temple,-7.6884,110.4154,Indonesia
Q12478254,Gampingan Temple,-7.833707,110.45826,Indonesia
Q11118909,Morangan Temple,-7.684722,110.469167,Indonesia
Q3101233,Candi Muara Takus,0.96472222,100.26805556,Indonesia
Q138701570,Piprahwa_Stupa,27.447777777,83.129166666,India
Q137916949,That Foun,19.334469,103.367301,Laos
Q12483513,Wringin Lawang,-7.54202,112.39101,Indonesia
Q3517536,Badut,-7.95776,112.59857,Indonesia
Q11101768,Ngawen,-7.604,110.27243,Indonesia
Q2725535,Muaro Jambi Temple Compounds,-1.47694444,103.63416667,Indonesia
Q2936251,Candi Laras,-2.62,114.933333,Indonesia
Q11125778,Barong Temple,-7.77564,110.49731,Indonesia
Q11114046,Kedulan Temple,-7.742774,110.469772,Indonesia
Q12478284,Q12478284,0.291526846,100.101394799,Indonesia
Q129157,Candi Pendem,-7.52569,110.35196,Indonesia
Q12478281,Candi Selogriyo,-7.42461,110.16752,Indonesia
Q56204092,Norbugang Chorten,27.37043806,88.21677738,India
Q130214579,Q130214579,47.7951,13.0419,Austria
Q3029356,Kidal temple,-8.02577,112.70909,Indonesia
Q11102782,Candi Sanggariti,-7.867035618,112.492949353,Indonesia
Q4264639,Gebang Temple,-7.751454,110.416117,Indonesia
Q2491478,Penataran,-8.01611111,112.20916667,Indonesia
Q47721,Prambanan Temple,-7.752,110.49122,Indonesia
Q11121021,Miri Temple,-7.7719109,110.5076501,Indonesia
Q3517543,Bojongmenje,-6.96608,107.802,Indonesia
Q12478248,Candi Angin,-6.605123,110.863898,Indonesia
Q6703169,Lumbung,-7.74813,110.49296,Indonesia
Q2936254,Sewu,-7.74393,110.49284,Indonesia
Q11112985,Q11112985,-7.60223,110.28326,Indonesia
Q19942632,Q19942632,-7.3988528,112.7891716,Indonesia
Q1878758,Sajiwan,-7.76107,110.4961,Indonesia
Q16187662,Candi Kedaton,-1.47754,103.64417,Indonesia
Q120198349,Gorsam Chorten,27.6981525,91.7159336,India
Q2725542,Surawana,-7.74621,112.218,Indonesia
Q12478285,Umbul Temple,-7.35962,110.29704,Indonesia
Q11109180,Gunung Wukir,-7.63422,110.29681,Indonesia
Q11101389,Candi Brahu,-7.54299,112.37445,Indonesia
Q962410,Trowulan,-7.55,112.366667,Indonesia
Q11125169,Tikus,-7.57174,112.4035,Indonesia
Q126935782,"Kanika Chorten, Sani Monastery",33.50539,76.80998,India
Q12478270,Candi Plumbangan,-8.074516,112.339754,Indonesia
Q137920427,That Chom Phet,19.335284,103.365261,Laos
Q6166127,Jawi temple,-7.66222,112.66972,Indonesia
Q11102108,Candi Dawangsari,-7.7732257,110.4977632,Indonesia
Q12478255,Q12478255,-8.016266,110.340165,Indonesia
Q17107002,Q17107002,-7.31145,110.42579,Indonesia
