# osm_stupas.csv — OpenStreetMap stupa corpus
# DO NOT HAND-EDIT. Regenerate with: python3 data/scripts/fetch_osm_stupas.py
# Source: OpenStreetMap via Overpass API (overpass-api.de)
# Tags: building=stupa, historic=stupa, ruins=stupa (man_made=stupa excluded — see script)
# License: OpenStreetMap data (c) OpenStreetMap contributors, ODbL 1.0
# N (deduplicated) = 259
osm_id,name,lat,lon,country,matched_tag
way/1215006143,,33.8695893,104.0987815,,building=stupa
way/1215061041,,33.9319014,104.1710403,,building=stupa
way/1215291778,,33.7710631,104.1798044,,building=stupa
way/1215708468,,33.6346771,104.5090932,,building=stupa
way/1215983783,,33.6146279,104.3257548,,building=stupa
way/1216189597,,33.4512486,104.4213782,,building=stupa
way/1220023491,,34.0585108,103.0389308,,building=stupa
way/1220023499,,34.0537742,103.0477999,,building=stupa
way/1220023512,,34.0502893,103.0626013,,building=stupa
way/1220023629,,34.0662128,103.0027736,,building=stupa
way/1222189359,,31.8132923,101.0569842,,building=stupa
way/1222747342,,32.2855374,101.3533314,,building=stupa
way/1225500980,,32.6332757,99.7250871,,building=stupa
way/1226122892,,32.3014257,100.2768234,,building=stupa
way/1227295155,,15.6983409,103.9593034,,building=stupa
way/1231618037,,32.8357460,99.0962777,,building=stupa
way/1232379591,,33.3723173,98.0123236,,building=stupa
way/1234831982,,31.1568038,98.8527086,,building=stupa
way/1236291359,,30.9468286,99.6075809,,building=stupa
way/1242420589,Stupa de la Paz,19.1458835,-100.1671112,,building=stupa
way/1244164314,,29.8219283,99.7687796,,building=stupa
way/1244587335,,30.0381404,100.1190281,,building=stupa
way/1244587448,,30.2172614,99.7911746,,building=stupa
way/1245338697,,30.5797130,100.0939713,,building=stupa
way/1247097877,,29.6969923,100.3872949,,building=stupa
way/1247521415,,29.6400859,100.4456128,,building=stupa
way/1247521421,,29.6521280,100.4433900,,building=stupa
way/1249815036,,28.9967864,101.8191305,,building=stupa
way/1250724900,,30.3234152,101.5263480,,building=stupa
way/1251146740,,28.9589388,101.5012677,,building=stupa
way/1252516489,,29.7838706,101.4560058,,building=stupa
way/1252516518,,29.7542362,101.4595436,,building=stupa
way/1252516622,,29.5728958,101.3461257,,building=stupa
way/1252958222,,29.8103507,101.5395271,,building=stupa
way/1252958304,,29.8459007,101.5580169,,building=stupa
way/1253532647,,29.9158540,101.6218234,,building=stupa
way/1254253482,,30.2142089,101.5037584,,building=stupa
way/1254605919,,30.3477850,101.5830968,,building=stupa
way/1258539066,,29.6163906,101.0631955,,building=stupa
way/1272203837,,30.5234030,101.4375461,,building=stupa
way/1272798499,,30.6033987,101.4393860,,building=stupa
way/1284112525,,27.9329211,101.2798872,,building=stupa
way/1285360276,,33.1275275,98.1339650,,building=stupa
way/1285372521,,36.3079349,100.6410508,,building=stupa
way/1286723930,,28.8429815,100.6531294,,building=stupa
way/1287413554,,28.2724085,100.6509286,,building=stupa
way/1288257296,,28.1648849,100.8722122,,building=stupa
way/1299825305,,37.7857291,113.5775413,,building=stupa
way/1341741931,,20.9091339,97.0217303,,building=stupa
way/1354159240,,17.6266756,95.5784013,,building=stupa
way/1375197133,,21.9602398,95.9970205,,building=stupa
way/1375338513,,21.9117782,95.9961761,,building=stupa
way/1381419128,,21.9044119,96.0498330,,building=stupa
way/1423469380,,21.5834913,96.1953105,,building=stupa
way/1423479095,,21.5715756,96.1781673,,building=stupa
way/1423839188,,21.6018054,96.1672290,,building=stupa
way/1423913065,,21.5940541,96.1928574,,building=stupa
way/1424024663,,21.4703453,95.8753258,,building=stupa
way/1424372841,,21.6256626,96.1412756,,building=stupa
way/1425470754,,19.6255848,96.1851629,,building=stupa
way/1425494929,,19.6092596,96.2421890,,building=stupa
way/1429241918,,30.2073472,95.3839029,,building=stupa
way/1436861695,,21.4822774,96.2124862,,building=stupa
way/1437048989,,21.5731916,96.0991844,,building=stupa
way/1440171266,,21.4825866,96.2601793,,building=stupa
way/1446338303,,29.3946312,91.8381249,,building=stupa
way/1448094257,净藏禅师塔,34.4935204,112.9955053,,building=stupa
way/1448198157,大颠祖师塔,23.3245426,116.4372164,,building=stupa
way/1448411582,,29.2113995,91.3298727,,building=stupa
way/1451569801,,29.3155967,90.7217979,,building=stupa
way/1452272509,,29.0756620,91.1050336,,building=stupa
way/1456017938,,28.1814696,90.8268560,,building=stupa
way/1458687903,,31.6773168,92.8264328,,building=stupa
way/1459545438,,31.4122791,92.9485389,,building=stupa
way/1459724133,,6.8820593,100.4143920,,building=stupa
way/1467056235,,32.0900392,93.4422840,,building=stupa
way/1467743724,,32.3054992,93.4304823,,building=stupa
way/1473345146,,17.3126455,99.8289151,,building=stupa
way/1474080994,曼磊佛塔,21.9963432,100.2582010,,building=stupa
way/1476882060,,17.0203694,99.5973781,,building=stupa
way/1481660145,,16.7609145,95.3310603,,building=stupa
way/1486213078,,16.7741751,95.3321055,,building=stupa
way/1489781997,,16.7831990,95.2892690,,building=stupa
way/1489782026,,16.7679039,95.2740304,,building=stupa
way/1491383646,,17.1409030,95.4716371,,building=stupa
way/1491385700,พระธาตุสุโขเทยเยเจติยสิริอัมพวนาราม,16.9770500,99.9702611,,building=stupa
way/1492248570,พระธาตุเจดีย์นันทศรีบุญมี,16.9795655,100.0057851,,building=stupa
way/1495069144,,20.3467068,95.7399539,,building=stupa
way/1496012462,,20.3698830,95.7447182,,building=stupa
way/1496540922,,32.2196594,101.8299311,,building=stupa
way/1497458766,,16.7567415,99.7570733,,building=stupa
way/1497620348,,16.8463988,99.7502457,,building=stupa
