tau_beru,tau_km,null_pct,n_all_a,obs_pct_all_a,enrich_all_a,p_all_a,n_dome_a,obs_pct_dome_a,enrich_dome_a,p_dome_a,n_all_c,enrich_all_c,p_all_c,n_dome_c,enrich_dome_c,p_dome_c_depl,tier,tier_a,tier_c
0.0107982,35.958,21.5964,240,23.739,1.099,0.05410779450912495,28,33.735,1.562,0.007238825992475474,213,0.976,0.6702025905642955,15,0.837,0.2638349184871745,,,
0.0118156,39.346,23.6311,262,25.915,1.097,0.04832519696111758,29,34.94,1.479,0.01325501338471941,229,0.959,0.7787745159192457,16,0.816,0.21292101810178266,,,
0.0129288,43.053,25.8575,287,28.388,1.098,0.03678821239343773,30,36.145,1.398,0.024716218767558282,256,0.979,0.6629103053796322,17,0.792,0.16026060206912734,,,
0.0141469,47.109,28.2937,312,30.861,1.091,0.03863517769678971,32,38.554,1.363,0.0278757859207999,281,0.982,0.6491943732501422,19,0.809,0.1660074310400258,,,
0.0154797,51.547,30.9594,341,33.729,1.089,0.03140203282885092,34,40.964,1.323,0.034165956040642716,311,0.994,0.565855794647615,21,0.817,0.15951999730670333,,,
0.0169381,56.404,33.8763,365,36.103,1.066,0.07231359290850062,37,44.578,1.316,0.02765032778759543,346,1.01,0.4193782266078296,24,0.854,0.20186106445142266,,,
0.018534,61.718,37.068,395,39.07,1.054,0.09959582475764948,39,46.988,1.268,0.04080051132074391,369,0.985,0.6572826552545052,24,0.78,0.07544900424769904,,,
0.0202802,67.533,40.5603,419,41.444,1.022,0.29401870068135505,41,49.398,1.218,0.06415369801721807,404,0.985,0.6623225773328739,28,0.832,0.12353347626448102,,,
0.0221909,73.896,44.3817,458,45.302,1.021,0.2884653600431733,42,50.602,1.14,0.1514934471094577,445,0.992,0.6043829279323036,32,0.869,0.16910619114190306,,,
0.0242816,80.858,48.5632,491,48.566,1.0,0.5117750592275211,45,54.217,1.116,0.1785845979402926,492,1.002,0.48667728941474137,37,0.918,0.2691062049283308,,,
0.0265693,88.476,53.1386,536,53.017,0.998,0.543700625601473,47,56.627,1.066,0.2998851575839036,531,0.988,0.6644922576518231,38,0.862,0.10891090836677306,,,
0.0290725,96.812,58.1451,597,59.05,1.016,0.29101764469079655,55,66.265,1.14,0.08143808982474023,584,0.993,0.6097637554600086,42,0.87,0.1004947687257744,,,
0.0318116,105.933,63.6233,650,64.293,1.011,0.3418908526548316,59,71.084,1.117,0.09554071400623698,625,0.972,0.8893605015739571,45,0.852,0.04921813047497159,,,
0.0348088,115.913,69.6176,704,69.634,1.0,0.5108860557733899,62,74.699,1.073,0.18839692661373272,681,0.968,0.9439808845597384,50,0.865,0.04343988011343419,,,
0.0380883,126.834,76.1766,782,77.349,1.015,0.20148635056563519,67,80.723,1.06,0.201337979371002,748,0.971,0.9516363302196822,54,0.854,0.01479494002756554,,,
0.0416768,138.784,83.3537,840,83.086,0.997,0.6100004379419715,69,83.133,0.997,0.5920317958951882,821,0.974,0.968044537969775,62,0.896,0.029093994208454127,,,
0.0456034,151.859,91.2069,920,90.999,0.998,0.6189989086051136,76,91.566,1.004,0.5523818735941679,895,0.971,0.9984252937694698,69,0.911,0.013194000890706858,,,
0.0499,166.167,99.8,1007,99.604,0.998,0.9455228076759875,83,100.0,1.002,0.8469054484544393,1006,0.997,0.9827402878458403,81,0.978,0.012226511021082614,,,
