subset,label,N,p0_pct,thresh_deg,thresh_km,n_Ap,obs_pct_Ap,OR_Ap,binom_Ap,sig_Ap,fish_Ap,n_C,obs_pct_C,OR_C,binom_C,sig_C
stupa_q180,Wikidata Q180987 stupa (N=229),229,9.5,0.1425,15.8,30,13.1,1.379,4.520e-02,*,1.513e-01,24,10.48,1.103,3.377e-01,ns
stupa_q180,Wikidata Q180987 stupa (N=229),229,10.0,0.15,16.7,33,14.41,1.441,2.118e-02,*,9.946e-02,25,10.92,1.092,3.527e-01,ns
stupa_geo,Wikidata stupa Java 107-115°E (N=83),83,1.0,0.015,1.7,2,2.41,2.41,2.017e-01,ns,5.000e-01,0,0.0,0.0,1.000e+00,ns
stupa_geo,Wikidata stupa Java 107-115°E (N=83),83,1.5,0.0225,2.5,2,2.41,1.606,3.542e-01,ns,5.000e-01,0,0.0,0.0,1.000e+00,ns
stupa_geo,Wikidata stupa Java 107-115°E (N=83),83,2.0,0.03,3.3,4,4.82,2.41,8.533e-02,~,3.409e-01,0,0.0,0.0,1.000e+00,ns
stupa_geo,Wikidata stupa Java 107-115°E (N=83),83,2.5,0.0375,4.2,4,4.82,1.928,1.544e-01,ns,3.409e-01,0,0.0,0.0,1.000e+00,ns
stupa_geo,Wikidata stupa Java 107-115°E (N=83),83,3.0,0.045,5.0,5,6.02,2.008,1.044e-01,ns,2.215e-01,0,0.0,0.0,1.000e+00,ns
stupa_geo,Wikidata stupa Java 107-115°E (N=83),83,3.5,0.0525,5.8,6,7.23,2.065,7.111e-02,~,2.478e-01,0,0.0,0.0,1.000e+00,ns
stupa_geo,Wikidata stupa Java 107-115°E (N=83),83,4.0,0.06,6.7,6,7.23,1.807,1.153e-01,ns,2.478e-01,0,0.0,0.0,1.000e+00,ns
stupa_geo,Wikidata stupa Java 107-115°E (N=83),83,4.5,0.0675,7.5,7,8.43,1.874,8.022e-02,~,2.673e-01,0,0.0,0.0,1.000e+00,ns
stupa_geo,Wikidata stupa Java 107-115°E (N=83),83,5.0,0.075,8.3,9,10.84,2.169,2.286e-02,*,1.236e-01,0,0.0,0.0,1.000e+00,ns
stupa_geo,Wikidata stupa Java 107-115°E (N=83),83,5.5,0.0825,9.2,9,10.84,1.972,3.868e-02,*,2.015e-01,0,0.0,0.0,1.000e+00,ns
stupa_geo,Wikidata stupa Java 107-115°E (N=83),83,6.0,0.09,10.0,11,13.25,2.209,1.073e-02,*,9.364e-02,0,0.0,0.0,1.000e+00,ns
stupa_geo,Wikidata stupa Java 107-115°E (N=83),83,6.5,0.0975,10.8,11,13.25,2.039,1.851e-02,*,9.364e-02,0,0.0,0.0,1.000e+00,ns
stupa_geo,Wikidata stupa Java 107-115°E (N=83),83,7.0,0.105,11.7,12,14.46,2.065,1.274e-02,*,1.056e-01,0,0.0,0.0,1.000e+00,ns
stupa_geo,Wikidata stupa Java 107-115°E (N=83),83,7.5,0.1125,12.5,14,16.87,2.249,3.388e-03,**,4.661e-02,0,0.0,0.0,1.000e+00,ns
stupa_geo,Wikidata stupa Java 107-115°E (N=83),83,8.0,0.12,13.3,14,16.87,2.108,5.982e-03,**,8.004e-02,0,0.0,0.0,1.000e+00,ns
stupa_geo,Wikidata stupa Java 107-115°E (N=83),83,8.5,0.1275,14.2,14,16.87,1.984,9.994e-03,**,8.004e-02,1,1.2,0.142,9.994e-01,ns
stupa_geo,Wikidata stupa Java 107-115°E (N=83),83,9.0,0.135,15.0,14,16.87,1.874,1.590e-02,*,8.004e-02,1,1.2,0.134,9.996e-01,ns
stupa_geo,Wikidata stupa Java 107-115°E (N=83),83,9.5,0.1425,15.8,15,18.07,1.902,1.106e-02,*,8.839e-02,1,1.2,0.127,9.997e-01,ns
stupa_geo,Wikidata stupa Java 107-115°E (N=83),83,10.0,0.15,16.7,17,20.48,2.048,3.199e-03,**,4.053e-02,1,1.2,0.12,9.998e-01,ns
