SITE-AS-ANCHOR RANKING AUDIT
Generated : Mon Apr 20 20:13:27 UTC 2026
Script    : tools/generate_audit_site_as_anchor.py
Corpus    : 1012 sites (1011 inscribed Cultural/Mixed + Gerizim synthetic)
           Each site used as anchor; tests against remaining N = 1011 sites
Threshold : A+ ≤ 0.00321 beru (10.7 km)
Null rate : 6% geometric (4% of 360° in A+ bands)

──────────────────────────────────────────────────────────────────────────────────────────────────────────────
DISTRIBUTION SUMMARY

  Sites ranked:  1012
  Mean A+:       65.13 ± 9.27
  Max A+:        92
  Min A+:        48
  Expected (4%): 40.4

──────────────────────────────────────────────────────────────────────────────────────────────────────────────
FOCAL ANCHOR RESULTS

  Site                                             Lon°E   A++    A+      A   Rank   % above     p-value  sig
  ----------------------------------------------------------------------------------------------------
  Mount Gerizim (Tentative List)                  35.269     7    88    228     18      1.7%  2.7224e-03  **
  Old City of Jerusalem                          35.2317     7    88    217     18      1.7%  2.7224e-03  **

──────────────────────────────────────────────────────────────────────────────────────────────────────────────
FULL RANKING  (all 1012 sites, sorted by A+ count)

   Rank   A++    A+      A      Lon°E  Site
    750     3    58    212    12.5667  The par force hunting landscape in North Zealand
    750     3    58    189    20.7675  Levoča, Spišský Hrad and the Associated Cultural Monuments
    750     3    58    174    24.0072  Monastery of Horezu
    750     3    58    192    26.7665  Thracian Tomb of Sveshtari
    750     3    58    184    36.0489  Ouadi Qadisha (the Holy Valley) and the Forest of the Cedars of G
    750     3    58    191    39.1892  Stone Town of Zanzibar
    750     3    58    201    51.6778  Meidan Emam, Esfahan
    750     3    58    201   102.6785  Orkhon Valley Cultural Landscape
    750     3    58    212   105.5667  Dazu Rock Carvings
    750     3    58    188   141.1078  Hiraizumi – Temples, Gardens and Archaeological Sites Representin
    750     2    58    175    -8.9767  Monastery of Alcobaça
    750     2    58    201    -5.3275  Royal Monastery of Santa María de Guadalupe
    750     2    58    202    -1.8254  Stonehenge, Avebury and Associated Sites
    750     2    58    197    51.6853  Masjed-e Jāmé of Isfahan
    750     2    58    184    54.0500  Land of Frankincense
    750     2    58    181   105.0431  Temple Zone of Sambor Prei Kuk, Archaeological Site of Ancient Is
    750     2    58    187   108.1092  My Son Sanctuary
    750     1    58    196    -7.9078  Historic Centre of Évora
    750     1    58    186    -3.2081  Heart of Neolithic Orkney
    750     1    58    184     4.8243  Colonies of Benevolence
    750     1    58    181    78.0422  Taj Mahal
    750     0    58    185    57.0720  Rock Paintings of Shulgan-Tash Cave

    794     8    57    206    25.9879  Rock-Hewn Churches of Ivanovo
    794     6    57    202  -109.3657  Rapa Nui National Park
    794     5    57    212   -56.4295  Red Bay Basque Whaling Station
    794     5    57    189   -27.2200  Central Zone of the Town of Angra do Heroismo in the Azores
    794     5    57    176    55.8066  Cultural Sites of Al Ain (Hafit, Hili, Bidaa Bint Saud and Oases 
    794     4    57    212   -95.4113  Pimachiowin Aki
    794     4    57    174    -5.9916  Cathedral, Alcázar and Archivo de Indias in Seville
    794     4    57    185    -2.8650  San Millán Yuso and Suso Monasteries
    794     4    57    184    -0.1270  Palace of Westminster and Westminster Abbey including Saint Marga
    794     4    57    193    35.8242  Rachid Karami International Fair-Tripoli
    794     4    57    201    39.6794  Fort Jesus, Mombasa
    794     4    57    202    48.5183  Hegmataneh
    794     4    57    176    55.8066  Faya Palaeolandscape
    794     3    57    216    -0.9619  Royal Court of Tiébélé
    794     3    57    185     6.1333  City of Luxembourg: its Old Quarters and Fortifications
    794     3    57    175    24.0144  L'viv – the Ensemble of the Historic Centre
    794     3    57    192    32.8281  Neolithic Site of Çatalhöyük
    794     3    57    191    39.1875  Historic Jeddah, the Gate to Makkah
    794     3    57    185   102.1333  Town of Luang Prabang
    794     2    57    184  -107.9481  Archaeological Zone of Paquimé, Casas Grandes
    794     2    57    185     9.0613  Monastic Island of Reichenau
    794     2    57    192    11.8339  Røros Mining Town and the Circumference
    794     2    57    192    35.8339  Kondoa Rock-Art Sites
    794     2    57    186   120.1408  West Lake Cultural Landscape of Hangzhou
    794     1    57    189    -0.1553  Jurisdiction of Saint-Emilion
    794     1    57    197     1.0825  Poblet Monastery
    794     1    57    196     1.0940  Canterbury Cathedral, St Augustine's Abbey, and St Martin's Churc
    794     1    57    219    11.0417  Historic Centre of San Gimignano

    822     6    56    190   -78.1814  Chankillo Archaeoastronomical Complex
    822     6    56    191    20.8197  Zagori Cultural Landscape
    822     6    56    189    38.8167  Rock-Hewn Churches, Lalibela
    822     6    56    190    44.8185  Monastery of Geghard and the Upper Azat Valley
    822     6    56    189   110.8167  Sangiran Early Man Site
    822     6    56    190   129.1740  Petroglyphs along the Bangucheon Stream
    822     5    56    190    -8.8269  Monastery of Batalha
    822     5    56    213    -8.4175  Convent of Christ in Tomar
    822     5    56    212    15.5881  Naval Port of Karlskrona
    822     5    56    202    39.5228  Ruins of Kilwa Kisiwani and Ruins of Songo Mnara
    822     5    56    201    48.5221  Tchogha Zanbil
    822     5    56    212    72.5881  Historic City of Ahmadabad
    822     5    56    191   126.1762  Capital Cities and Tombs of the Ancient Koguryo Kingdom
    822     5    56    202   138.5228  Fujisan, sacred place and source of artistic inspiration
    822     4    56    200   -83.4789  Precolumbian Chiefdom Settlements with Stone Spheres of the Diquí
    822     4    56    213   -74.4231  Historic Centre of Santa Cruz de Mompox
    822     4    56    213    -8.4258  University of Coimbra – Alta and Sofia
    822     4    56    184    24.1167  Historic Centre of Riga
    822     4    56    212    36.5873  Quseir Amra
    822     4    56    212    45.5728  Armenian Monastic Ensembles of Iran
    822     4    56    217   143.0350  Willandra Lakes Region
    822     3    56    184   -99.1329  Camino Real de Tierra Adentro
    822     3    56    183    -3.1297  Megaliths of Carnac and of the shores of Morbihan
    822     3    56    186     8.7978  Maulbronn Monastery Complex
    822     3    56    179    32.9663  Painted Churches in the Troodos Region
    822     2    56    175   -71.9787  City of Cuzco
    822     2    56    186     5.8764  From the Great Saltworks of Salins-les-Bains to the Royal Saltwor
    822     2    56    177     9.0300  Three Castles, Defensive Wall and Ramparts of the Market-Town of 
    822     2    56    212    12.5803  Assisi, the Basilica of San Francesco and Other Franciscan Sites
    822     2    56    185    30.0606  Memorial sites of the Genocide: Nyamata, Murambi, Gisozi and Bise
    822     2    56    177    51.0297  Al Zubarah Archaeological Site
    822     2    56    175    78.0215  Agra Fort
    822     1    56    210    18.6042  Medieval Town of Toruń
    822     1    56    195    31.0860  The Emergence of Modern Human Behaviour: The Pleistocene Occupati
    822     0    56    201  -103.3378  Hospicio Cabañas, Guadalajara
    822     0    56    203    10.1000  Kairouan

    858     7    55    206     7.9914  Historic Centre of Agadez
    858     6    55    191   -99.1881  Central University City Campus of the <i>Universidad Nacional Aut
    858     6    55    206     1.9922  Royal Palaces of Abomey
    858     5    55    205   -79.0044  Historic Centre of Santa Ana de los Ríos de Cuenca
    858     5    55    188     6.1833  Place Stanislas, Place de la Carrière and Place d'Alliance in Nan
    858     5    55    206    10.9939  City of Verona
    858     5    55    206    16.9933  Decorated Farmhouses of Hälsingland
    858     4    55    180   -21.0373  Þingvellir National Park
    858     4    55    177    -1.2022  Rock Art of the Mediterranean Basin on the Iberian Peninsula
    858     4    55    189     8.8075  Town Hall and Roland on the Marketplace of Bremen
    858     4    55    178    20.9624  Curonian Spit
    858     4    55    178    22.8000  Archaeological Sites of Mycenae and Tiryns
    858     3    55    189   -78.2000  Qhapaq Ñan, Andean Road System
    858     3    55    190    -5.8143  Monuments of Oviedo and the Kingdom of the Asturias
    858     3    55    202    -4.8342  Heritage of Mercury. Almadén and Idrija
    858     3    55    201    10.1667  Medina of Tunis
    858     3    55    182    11.8691  Padua’s fourteenth-century fresco cycles
    858     3    55    175    35.9667  Lower Valley of the Omo
    858     3    55    201    55.1690  Gonbad-e Qābus
    858     3    55    191    89.8000  Historic Mosque City of Bagerhat
    858     3    55    179   167.9586  Australian Convict Sites
    858     2    55    190   -75.1500  Independence Hall
    858     2    55    185     3.0603  Kasbah of Algiers
    858     2    55    194    12.2331  Early Christian Monuments of Ravenna
    858     2    55    208   126.6169  Sansa, Buddhist Mountain Monasteries in Korea
    858     1    55    193   -98.7660  Earliest 16th-Century Monasteries on the Slopes of Popocatepetl
    858     1    55    185   -75.1486  Lines and Geoglyphs of Nasca and Palpa
    858     1    55    200    -2.3591  City of Bath
    858     1    55    191    18.1982  Frontiers of the Roman Empire – The Danube Limes (Western Segment
    858     1    55    194    36.2042  Baalbek
    858     0    55    202    49.1191  Astronomical Observatories of Kazan Federal University

    889     7    54    177    16.8034  Lednice-Valtice Cultural Landscape
    889     6    54    189    17.8150  Old Bridge Area of the Old City of Mostar
    889     5    54    193    11.8040  Naumburg Cathedral
    889     5    54    200   118.1551  Mount Huangshan
    889     5    54    190   168.1777  Chief Roi Mata’s Domain
    889     4    54    185   -86.8781  León Cathedral
    889     4    54    205   -16.3118  San Cristóbal de La Laguna
    889     4    54    216    -3.9658  The Slate Landscape of Northwest Wales
    889     4    54    190     9.1710  Church and Dominican Convent of Santa Maria delle Grazie with “Th
    889     4    54    185    18.1181  Old City of Dubrovnik
    889     4    54    183    27.1189  Madara Rider
    889     4    54    184    30.1211  Historic Centre of Saint Petersburg and Related Groups of Monumen
    889     4    54    191    75.1792  Ellora Caves
    889     3    54    188   -99.1924  Luis Barragán House and Studio
    889     3    54    189   -99.1918  Franciscan Missions in the Sierra Gorda of Querétaro
    889     3    54    179    13.7956  Diy-Gid-Biy Cultural Landscape of the Mandara Mountains
    889     3    54    189    21.1568  Hortobágy National Park - the <i>Puszta</i>
    889     3    54    193    24.2167  Mount Athos
    889     3    54    191    27.1696  Pergamon and its Multi-Layered Cultural Landscape
    889     2    54    179   -98.9644  Historic Centre of Mexico City and Xochimilco
    889     2    54    179    -0.0446  Tomb of Askia
    889     2    54    202    10.6833  Hanseatic City of Lübeck
    889     2    54    197    16.7227  Fertö / Neusiedlersee Cultural Landscape
    889     2    54    211    20.0209  Butrint
    889     2    54    198    28.7236  Aphrodisias
    889     0    54    188    12.1498  Garden Kingdom of Dessau-Wörlitz

    915     8    53    177    -0.0038  Maritime Greenwich
    915     8    53    177   116.9946  Temple and Cemetery of Confucius and the Kong Family Mansion in Q
    915     6    53    194  -107.7781  Chaco Culture
    915     5    53    200   -34.8450  Historic Centre of the Town of Olinda
    915     5    53    195     3.2253  Historic Centre of Brugge
    915     5    53    193     9.2203  Dougga / Thugga
    915     5    53    200    19.1547  Wooden Churches of the Slovak part of the Carpathian Mountain Are
    915     5    53    200   103.1531  Megalithic Jar Sites in Xiengkhuang – Plain of Jars
    915     4    53    200   -76.8434  The Archaeological Ensemble of 17th Century Port Royal
    915     4    53    190   -62.8372  Brimstone Hill Fortress National Park
    915     4    53    198   -43.8608  Sanctuary of Bom Jesus do Congonhas
    915     4    53    190    -2.8424  Routes of Santiago de Compostela: <i>Camino Francés</i> and Route
    915     4    53    195    12.2261  Le Colline del Prosecco di Conegliano e Valdobbiadene
    915     4    53    196    18.2278  Early Christian Necropolis of Pécs (Sopianae)
    915     4    53    216   107.0314  Zuojiang Huashan Rock Art Cultural Landscape
    915     4    53    193   129.2200  Gyeongju Historic Areas
    915     3    53    178   -37.2054  São Francisco Square in the Town of São Cristóvão
    915     3    53    214     2.0279  Works of Antoni Gaudí
    915     3    53    177     8.9914  Su Nuraxi di Barumini
    915     3    53    191    45.1634  The Cultural Landscape of Al-Faw Archaeological Area
    915     3    53    175   119.9908  Archaeological Ruins of Liangzhu City
    915     2    53    212   -54.9787  Jodensavanne Archaeological Site: Jodensavanne Settlement and Cas
    915     2    53    210   -17.4008  Island of Gorée
    915     2    53    195    31.7186  Wooden Hypostyle Mosques of Medieval Anatolia
    915     1    53    196   175.7316  Tongariro National Park

    940     7    52    204   -89.3692  Joya de Cerén Archaeological Site
    940     7    52    198     4.1372  The Four Lifts on the Canal du Centre and their Environs, La Louv
    940     7    52    204    15.6308  Mining Area of the Great Copper Mountain in Falun
    940     4    52    190   -98.8417  Pre-Hispanic City of Teotihuacan
    940     4    52    184     8.9300  Genoa: <i>Le Strade Nuove</i> and the system of the<i> Palazzi de
    940     4    52    215    11.0299  Jewish-Medieval Heritage of Erfurt
    940     4    52    201    88.1496  Petroglyphic Complexes of the Mongolian Altai
    940     3    52    200   -70.3215  Settlement and Artificial Mummification of the Chinchorro Culture
    940     3    52    203   -64.3092  Old Town Lunenburg
    940     3    52    209    -8.3770  Sanctuary of Bom Jesus do Monte in Braga
    940     3    52    183    10.7750  The Great Spa Towns of Europe
    940     3    52    186    11.8807  Botanical Garden (Orto Botanico), Padua
    940     3    52    212    14.0233  Arab-Norman Palermo and the Cathedral Churches of Cefalú and Monr
    940     3    52    183    25.7756  Villages with Fortified Churches in Transylvania
    940     3    52    183    34.7742  White City of Tel-Aviv – the Modern Movement
    940     3    52    185    38.9358  Asmara: A Modernist African City
    940     3    52    183   103.7733  Mount Emei Scenic Area, including Leshan Giant Buddha Scenic Area
    940     2    52    184   -90.0614  Cahokia Mounds State Historic Site
    940     2    52    182    -3.0878  Pontcysyllte Aqueduct and Canal
    940     2    52    201    37.1628  Ancient City of Aleppo
    940     1    52    201   -58.3317  Fray Bentos Industrial Landscape
    940     1    52    183     4.7868  Al Qal'a of Beni Hammad
    940     1    52    179    71.9506  Buddhist Ruins of Takht-i-Bahi and Neighbouring City Remains at S
    940     1    52    184   106.7838  Yen Tu-Vinh Nghiem-Con Son, Kiep Bac Complex of Monuments and Lan
    940     1    52    186   116.9003  Fujian <em>Tulou</em>
    940     0    52    189    34.7576  Göreme National Park and the Rock Sites of Cappadocia

    966     6    51    203    -5.3667  Medina of Tétouan (formerly known as Titawin)
    966     6    51    175    -2.9994  Timbuktu
    966     6    51    177    -0.0005  Pyrénées - Mont Perdu
    966     6    51    176     9.0000  Tassili n'Ajjer
    966     6    51    203    12.6333  Historic Centre of Urbino
    966     6    51    175    81.0006  Ancient City of Polonnaruwa
    966     6    51    176   111.0000  Ancient Building Complex in the Wudang Mountains
    966     5    51    206    48.6267  Old Walled City of Shibam
    966     4    51    209    12.6208  Kronborg Castle
    966     4    51    184    23.9283  Wooden Churches of Maramureş
    966     4    51    209   105.6211  Citadel of the Ho Dynasty
    966     3    51    205   -64.3072  Landscape of Grand Pré
    966     3    51    206     7.6942  Upper Middle Rhine Valley
    966     3    51    184    23.9292  Modernist Kaunas: Architecture of Optimism, 1919-1939
    966     3    51    202    37.6739  Church of the Ascension, Kolomenskoye
    966     2    51    186   -66.1168  La Fortaleza and San Juan National Historic Site in Puerto Rico
    966     2    51    183    -3.0881  Blaenavon Industrial Landscape
    966     2    51    184    17.8833  Royal Domain of Drottningholm
    966     1    51    198   -76.2977  San Agustín Archaeological Park
    966     1    51    196    31.7411  Gebel Barkal and the Sites of the Napatan Region
    966     1    51    209    35.0092  Incense Route - Desert Cities in the Negev
    966     1    51    209    44.0092  Erbil Citadel
    966     1    51    186   104.9021  Cambodian Memorial Sites: From centres of repression to places of
    966     1    51    208   131.0000  Ulu<U>r</U>u-Kata Tju<U>t</U>a National Park
    966     0    51    185   -64.2339  Jesuit Block and Estancias of Córdoba
    966     0    51    173    -3.0168  Vizcaya Bridge
    966     0    51    188    26.8894  Pythagoreion and Heraion of Samos
    966     0    51    203    49.1065  Historic and Architectural Complex of the Kazan Kremlin

    994     7    50    201    -5.3647  Cornwall and West Devon Mining Landscape
    994     7    50    200     1.1333  Koutammakou, the Land of the Batammariba
    994     7    50    198    46.1365  Cultural Landscape of Hawraman/Uramanat
    994     7    50    200    91.1338  Historic Ensemble of the Potala Palace, Lhasa
    994     6    50    201    -4.8677  Caliphate City of Medina Azahara
    994     6    50    201    79.1316  Great Living Chola Temples
    994     6    50    201   112.1317  Ancient City of Ping Yao
    994     5    50    202    21.6333  Meteora
    994     5    50    200    21.6340  Archaeological Site of Olympia
    994     5    50    184    35.9333  Anjar
    994     4    50    183    -3.0824  The English Lake District
    994     4    50    183    38.9224  Göbekli Tepe
    994     3    50    183    -0.0761  Tower of London
    994     2    50    202    19.6764  Kalwaria Zebrzydowska: the Mannerist Architectural and Park Lands
    994     1    50    197   -43.2914  Rio de Janeiro: Carioca Landscapes between the Mountain and the S
    994     0    50    192     7.7489  Strasbourg, Grande-Île and <em>Neustadt</em>

   1010     4    49    182    35.9167  Um er-Rasas (Kastrom Mefa'a)
   1010     2    49    197    10.7069  Amphitheatre of El Jem

   1012     2    48    197    40.7358  Island of Mozambique
