SITE-AS-ANCHOR RANKING AUDIT
Generated : Mon Apr 20 20:13:27 UTC 2026
Script    : tools/generate_audit_site_as_anchor.py
Corpus    : 1012 sites (1011 inscribed Cultural/Mixed + Gerizim synthetic)
           Each site used as anchor; tests against remaining N = 1011 sites
Threshold : A+ ≤ 0.00321 beru (10.7 km)
Null rate : 6% geometric (4% of 360° in A+ bands)

──────────────────────────────────────────────────────────────────────────────────────────────────────────────
DISTRIBUTION SUMMARY

  Sites ranked:  1012
  Mean A+:       65.13 ± 9.27
  Max A+:        92
  Min A+:        48
  Expected (4%): 40.4

──────────────────────────────────────────────────────────────────────────────────────────────────────────────
FOCAL ANCHOR RESULTS

  Site                                             Lon°E   A++    A+      A   Rank   % above     p-value  sig
  ----------------------------------------------------------------------------------------------------
  Mount Gerizim (Tentative List)                  35.269     7    88    228     18      1.7%  2.7224e-03  **
  Old City of Jerusalem                          35.2317     7    88    217     18      1.7%  2.7224e-03  **

──────────────────────────────────────────────────────────────────────────────────────────────────────────────
FULL RANKING  (all 1012 sites, sorted by A+ count)

   Rank   A++    A+      A      Lon°E  Site
    128     4    74    196   135.8077  Historic Monuments of Ancient Kyoto (Kyoto, Uji and Otsu Cities)
    128     3    74    196   -98.1978  Historic Centre of Puebla
    128     3    74    195    -5.1949  Sudanese style mosques in northern Côte d’Ivoire
    128     3    74    208    -1.5761  Durham Castle and Cathedral
    128     3    74    235    20.3746  ǂKhomani Cultural Landscape
    128     3    74    200    48.7947  Soltaniyeh
    128     1    74    195     3.3572  Nord-Pas de Calais Mining Basin
    128     1    74    191     9.4102  Carolingian Westwork and Civitas Corvey
    128     1    74    196    60.3603  Itchan Kala
    128     1    74    193   135.4072  Sacred Sites and Pilgrimage Routes in the Kii Mountain Range

    170     7    73    195    10.4903  Mantua and Sabbioneta
    170     7    73    200    21.7775  Bronze Age Burial Site of Sammallahdenmäki
    170     6    73    199  -131.2203  S<U>G</U>ang Gwaay
    170     6    73    198   -79.5347  The Colonial Transisthmian Route of Panamá
    170     6    73    196     9.3468  Archaeological Border complex of Hedeby and the Danevirke
    170     6    73    200     9.7786  Frontiers of the Roman Empire
    170     5    73    196  -113.6521  Head-Smashed-In Buffalo Jump
    170     5    73    208   -76.5711  Blue and John Crow Mountains
    170     5    73    223   -15.6612  Risco Caido and the Sacred Mountains of Gran Canaria Cultural Lan
    170     5    73    223    -6.6611  Prehistoric Rock Art Sites in the Côa Valley and Siega Verde
    170     5    73    224    11.3397  Bauhaus and its Sites in Weimar, Dessau and Bernau
    170     5    73    189    15.8280  Semmering Railway
    170     5    73    188    18.4224  Stećci Medieval Tombstone Graveyards
