UNESCO A-TIER SITES: GERIZIM vs JERUSALEM ANCHOR COMPARISON
Generated : Fri Apr 17 01:53:57 UTC 2026
Script    : tools/generate_audit_aplus_sites.py
Corpus    : 1011 inscribed Cultural/Mixed UNESCO sites with coordinates
           + 1 synthetic Gerizim entry = 1012 extended corpus
Beru      : 30.0°  |  A+ threshold: <= 0.002 beru (6.7 km)  |  A threshold: <= 0.01 beru (33 km)
Gerizim   : 35.269°E  (Tentative List, ref. 5706 — not yet inscribed)
Jerusalem : 35.2317°E  (inscribed corpus member)  [0.0373° = 4.1 km separation]
Self-exclusion: each anchor removes itself → both test against N=1011.
  Gerizim corpus : N=1011  (inscribed 1011, excl. Gerizim; incl. Jerusalem)
  Jerusalem corpus: N=1011  (inscribed 1011, excl. Jerusalem; incl. Gerizim)

────────────────────────────────────────────────────────────────────────────────────────────────
SUMMARY

  Anchor           N corpus    A++     A+   A (all)    A+ %       A+ p           A %        A p      
  --------------------------------------------------------------------------------------
  Gerizim              1011      7     56       228    5.5%     0.0103     *   22.6%     0.0246     *
  Jerusalem            1011      7     57       218    5.6%     0.0070    **   21.6%     0.1151    ns

  A+ null rate: 4%   A null rate: 20%
  A+ overlap (both anchors): 38 sites
  A+ unique to Gerizim: 18 sites
  A+ unique to Jerusalem: 19 sites

────────────────────────────────────────────────────────────────────────────────────────────────
GERIZIM (35.269°E) — ALL A-TIER SITES  (A++=7, A+=56, A=172, total=228)
  Tier   Dev (beru)      km  Dir  Harmonic      Lon°E  Site
  ----------------------------------------------------------------------------------------
  --- A++ ---
  A        0.002791     9.3    E       1.4    77.1853  Qutb Minar and its Monuments, Delhi
  A        0.002796     9.3    E       2.7   116.1851  Site of Xanadu
  A        0.002820     9.4    E       0.0    35.3536  Masada
  A        0.002983     9.9    W       3.3   -63.8205  Fuerte de Samaipata
  A        0.003069    10.2    W       0.2    29.1769  Fossil Hominid Sites of South Africa
  A        0.003070    10.2    E       0.1    38.3611  Arslantepe Mound
  A        0.003133    10.4    W       1.1     2.1750  Palau de la Música Catalana and Hospital de Sant Pau, Barcelona
  A        0.003155    10.5    W       1.1     2.3637  Historic Fortified City of Carcassonne
  A        0.003193    10.6    E       2.5   110.3648  The Cosmological Axis of Yogyakarta and its Historic Landmarks
  A        0.003198    10.6    W       0.2    29.1731  Bursa and Cumalıkızık: the Birth of the Ottoman Empire
  A        0.003213    10.7    E       0.1    38.1726  Cultural Landscape of Kenozero Lake
  A        0.003256    10.8    W       4.9  -111.6333  Writing-on-Stone / Áísínai’pi
  A        0.003343    11.1    W       3.7   -75.6307  Archaeological Landscape of the First Coffee Plantations in the South-East of Cuba
  A        0.003390    11.3    E       0.6    53.1673  Pasargadae
  A        0.003448    11.5    W       2.7   -45.8344  Kujataa Greenland: Norse and Inuit Farming at the Edge of the Ice Cap
  A        0.003519    11.7    W       0.5    20.3746  ǂKhomani Cultural Landscape
  A        0.003537    11.8    W       0.7    14.3751  Twyfelfontein or /Ui-//aes
  A        0.003637    12.1    E       0.8    59.3781  Ancient City of Qalhat
  A        0.003670    12.2    W       0.0    35.1589  Palestine: Land of Olives and Vines – Cultural Landscape of Southern Jerusalem, Battir
  A        0.003762    12.5    W       0.6    17.3819  Gardens and Castle at Kroměříž
  A        0.003771    12.6    E       1.3    74.3821  Fort and Shalamar Gardens in Lahore
  A        0.003811    12.7    E       1.5    80.3833  Sacred City of Anuradhapura
  A        0.003819    12.7    W       4.9  -111.8456  The 20th-Century Architecture of Frank Lloyd Wright
  A        0.003865    12.9    W       1.4    -6.8469  Rabat, Modern Capital and Historic City: a Shared Heritage
  A        0.003930    13.1    E       2.2   101.1511  The Ancient Town of Si Thep and its Associated Dvaravati Monuments
  A        0.003963    13.2    W       3.1   -57.8499  Historic Quarter of the City of Colonia del Sacramento
  A        0.004048    13.5    W       1.0     5.1476  Rietveld Schröderhuis (Rietveld Schröder House)
  A        0.004055    13.5    W       1.3    -3.6093  Aranjuez Cultural Landscape
  A        0.004080    13.6    E       2.7   116.3914  Beijing Central Axis: A Building Ensemble Exhibiting the Ideal Order of the Chinese Capital
  A        0.004161    13.9    W       1.1     2.1442  Episcopal City of Albi
  A        0.004244    14.1    E       0.8    59.1417  Kunya-Urgench
  A        0.004259    14.2    E       2.6   113.1412  Historic Monuments of Dengfeng in “The Centre of Heaven and Earth”
  A        0.004263    14.2    E       2.7   116.1411  Summer Palace, an Imperial Garden in Beijing
  A        0.004272    14.2    E       2.7   116.3972  Imperial Palaces of the Ming and Qing Dynasties in Beijing and Shenyang
  A        0.004272    14.2    W       0.5    20.1408  Historic Centres of Berat and Gjirokastra
  A        0.004311    14.4    W       1.1     2.3983  Bourges Cathedral
  A        0.004337    14.4    E       1.1    68.1389  Archaeological Ruins at Moenjodaro
  A        0.004383    14.6    E       3.1   128.1375  Mount Kumgang – Diamond Mountain from the Sea
  A        0.004522    15.1    W       0.8    11.1333  Ecosystem and Relict Cultural Landscape of Lopé-Okanda
  A        0.004593    15.3    E       0.1    38.1312  Architectural Ensemble of the Trinity Sergius Lavra in Sergiev Posad
  A        0.004609    15.3    W       1.0     5.4073  Dutch Water Defence Lines
  A        0.004615    15.4    W       0.4    23.1306  Roșia Montană Mining Landscape
  A        0.004624    15.4    W       0.8    11.1303  Collegiate Church, Castle and Old Town of Quedlinburg
  A        0.004648    15.5    W       3.7   -75.8704  San Pedro de la Roca Castle, Santiago de Cuba
  A        0.004703    15.7    W       1.3    -3.5899  Alhambra, Generalife and Albayzín, Granada
  A        0.004735    15.8    W       0.0    35.1269  Necropolis of Bet She’arim: A Landmark of Jewish Renewal
  A        0.004856    16.2    W       0.2    29.1233  Hierapolis-Pamukkale
  A        0.004893    16.3    E       2.6   113.1222  Yungang Grottoes
  A        0.004906    16.3    E       0.1    38.1218  Great Mosque and Hospital of Divriği
  A        0.004922    16.4    W       1.3    -3.5833  Ruins of Loropéni
  A        0.004950    16.5    W       0.5    20.4175  Wieliczka and Bochnia Royal Salt Mines
  A        0.004976    16.6    W       1.1     2.1197  Fortifications of Vauban
  A        0.004985    16.6    W       1.1     2.1194  Palace and Park of Versailles
  A        0.004996    16.6    W       0.8    11.4189  Schwerin Residence Ensemble
  A        0.005061    16.9    E       0.3    44.4208  Babylon
  A        0.005126    17.1    W       0.5    20.4228  Stari Ras and Sopoćani
  A        0.005161    17.2    W       3.5   -69.8858  Colonial City of Santo Domingo
  A        0.005207    17.3    W       0.8    11.1128  The Palaces of King Ludwig II of Bavaria: Neuschwanstein, Linderhof, Schachen and Herrenchiemsee
  A        0.005249    17.5    W       4.6  -102.5735  Historic Centre of Zacatecas
  A        0.005293    17.6    W       1.2    -0.5722  Bordeaux, Port of the Moon
  A        0.005323    17.7    W       3.4   -66.8907  Ciudad Universitaria de Caracas
