wikidata_id,lat,lon,region,beru_dev,tier
Q103141509,36.1,32.82,Europe,0.01819999999999998,B
Q111526910,36.09401,32.81089,Europe,0.017896333333333334,B
Q125698593,36.0221158,32.8026116,Europe,0.0176203866666666,B
Q133236036,36.1569176,32.4149017,Europe,0.004696723333333361,A
Q490090,37.27201,30.259927,Europe,0.032864233333333354,B
Q647896,36.9925,30.98972222,Europe,0.04280925933333332,B
Q656882,37.1549,30.4885,Europe,0.04048333333333326,B
Q656904,37.181111111,30.4725,Europe,0.039949999999999986,B
Q1062421,37.077777777,30.570833333,Europe,0.04322777776666664,B
Q1458167,37.2903,30.248,Europe,0.03246666666666667,B
Q1673973,37.0675,30.1619,Europe,0.029596666666666632,B
Q20874245,37.089,30.576,Europe,0.043399999999999994,B
Q133236711,37.265652994,30.486346403,Europe,0.04041154676666661,B
Q137170041,37.32,30.312,Europe,0.03460000000000002,B
Q618500,35.401231,33.739331,Europe,0.04884436666666664,B
Q1343280,35.16200602,33.88318429,Europe,0.04636052366666661,B
Q1457439,35.31222222,33.36805556,Europe,0.03646851866666671,B
Q16327901,34.978888888,33.916388888,Arab States,0.04525370373333336,B
Q22986773,35.288333333,33.3025,Europe,0.034283333333333374,B
Q22986779,35.34,33.328888888,Europe,0.03516296293333336,B
Q22986780,35.325,33.336388888,Europe,0.035412962933333375,B
Q22986792,35.331388888,33.426666666,Europe,0.038422222200000064,B
Q22986866,35.361944444,33.657222222,Europe,0.04610740740000002,B
Q22987222,35.172777777,33.894166666,Europe,0.045994444466666805,B
Q22987223,35.159722222,33.888333333,Europe,0.04618888890000008,B
Q22987250,34.966944444,34.071388888,Arab States,0.04008703706666665,B
Q22987251,34.963055555,34.068611111,Arab States,0.040179629633333276,B
Q101102878,35.17,33.9,Europe,0.04580000000000008,B
Q109590548,34.98106,33.95396,Arab States,0.044001333333333295,B
Q123249426,35.1789942,33.907051,Europe,0.04556496666666661,B
Q599462,36.9825,30.46444444,Europe,0.03968148133333335,B
Q719815,36.960353,30.853686,Europe,0.04734380000000005,B
Q20988340,36.88805556,30.7125,Europe,0.04794999999999994,B
Q103189213,36.98,30.77,Europe,0.04986666666666664,B
Q132716939,36.9981,30.725,Europe,0.0483666666666667,B
Q385086,34.796725,33.343719444,Arab States,0.03565731480000002,B
Q1329990,35.35583333,33.19555556,Europe,0.030718518666666722,B
Q1404714,34.7525,33.30305556,Arab States,0.03430185199999988,B
Q1625222,34.75066667,33.30291667,Arab States,0.03429722233333338,B
Q1656624,35.015833333,33.423055555,Europe,0.038301851833333234,B
Q2288801,35.14888889,33.68277778,Europe,0.04695925933333338,B
Q3561710,35.068055555,33.546666666,Europe,0.04242222219999998,B
Q6426672,34.98486111,33.70244444,Arab States,0.047614814666666665,B
Q22985570,35.0675,33.539444444,Europe,0.04218148146666655,B
Q22985578,35.081666666,33.604444444,Europe,0.044348148133333376,B
Q22986736,35.303611111,32.940277777,Europe,0.022209259233333264,B
Q22986752,35.289444444,33.082222222,Europe,0.02694074073333326,B
Q25381188,35.22434,33.0015,Europe,0.02424999999999998,B
Q25381390,34.920262467,33.632947399,Arab States,0.04529824663333339,B
Q56402260,35.072222222,33.603611111,Europe,0.04432037036666662,B
Q69119886,34.886703,33.604156,Arab States,0.044338533333333416,B
Q82074118,34.923149,33.630299,Arab States,0.04520996666666667,B
Q82074219,35.097775,33.652332,Europe,0.04594440000000002,B
Q103166144,34.9,33.63,Arab States,0.04520000000000006,B
Q124356267,34.923102258,33.63047054,Arab States,0.045215684666666554,B
Q457697,37.518578,31.7386345,Europe,0.0178455166666667,B
Q908860,37.5843,30.0845,Europe,0.027016666666666606,B
Q1269403,37.6344,30.167,Europe,0.02976666666666669,B
Q1744316,37.7,30.06666667,Europe,0.02642222233333333,B
Q1779200,37.499513,31.922803,Europe,0.011706566666666751,B
Q137170078,37.504859,31.914438,Europe,0.011985400000000007,B
Q1397859,37.65833333,31.89583333,Europe,0.01260555566666674,B
Q6100491,37.7591438,31.6811295,Europe,0.019762349999999998,B
Q280782,36.481116666,32.899533333,Europe,0.0208511111,B
Q415525,36.52732068,30.22144675,Europe,0.03158155833333326,B
Q474939,36.4525,34.105555555,Europe,0.03894814816666662,B
Q595329,36.523611,30.552222,Europe,0.04260739999999999,B
Q792822,36.36333333,33.93111111,Europe,0.04476296299999992,B
Q1266153,36.43055556,34.01666667,Europe,0.04191111100000005,B
Q1324870,36.483624,34.173725,Europe,0.03667583333333345,B
Q1659782,36.42805556,33.94916667,Europe,0.044161111000000135,B
Q1738167,36.14416667,33.32277778,Europe,0.034959259333333395,B
Q1926398,36.46666667,34.03333333,Europe,0.04135555566666677,B
Q1957163,36.45680556,34.14805556,Europe,0.03753148133333326,B
Q1993923,35.49416667,34.28305556,Europe,0.03303148133333333,B
Q2107863,36.636111111,30.557222222,Europe,0.04277407406666664,B
Q2167586,36.46527778,34.15416667,Europe,0.037327777666666624,B
Q2450857,36.865717,30.475731,Europe,0.040057699999999974,B
Q2792807,36.46777778,34.00583333,Europe,0.04227222233333331,B
Q4903971,36.37583333,33.93,Europe,0.04480000000000004,B
Q4994366,36.37555556,33.92138889,Europe,0.045087036999999934,B
Q6025192,36.55472222,30.20222222,Europe,0.030940740666666633,B
Q6073348,36.745278,30.57,Europe,0.04319999999999999,B
Q6094464,36.50244,33.5535,Europe,0.042649999999999966,B
Q11948139,36.3765,33.9165,Europe,0.045250000000000054,B
Q15057140,36.40888889,34.07638889,Europe,0.03992037033333347,B
Q15238616,36.6475,30.36638889,Europe,0.036412962999999965,B
Q15851714,36.490084579,34.135540182,Europe,0.03794866060000004,B
Q18623946,36.4472,33.9692,Europe,0.04349333333333334,B
Q19286328,36.43944444,34.00944444,Europe,0.042151851999999934,B
Q19568927,36.596666666,30.573333333,Europe,0.043311111099999994,B
Q25379243,36.439722,34.009722,Europe,0.04214260000000015,B
Q81593,36.533333333,31.993333333,Europe,0.009355555566666729,A
Q279191,37.67805556,30.51944444,Europe,0.04151481466666668,B
Q633757,36.93889,31.17222,Europe,0.036726000000000036,B
Q1785368,37.02722222,31.63666667,Europe,0.021244444333333348,B
Q65122566,37.956,30.515,Europe,0.04136666666666666,B
Q65122572,37.85745,30.33953,Europe,0.03551766666666664,B
Q115466378,36.9398761,31.1687814,Europe,0.03684062000000002,B
Q94668,36.77944444,33.36555556,Europe,0.03638518533333321,B
Q157816,36.58083333,33.92527778,Europe,0.0449574073333333,B
Q202974,36.52555556,34.17944444,Europe,0.03648518533333345,B
Q863532,37.43722222,33.14416667,Europe,0.029005555666666544,B
Q4159913,37.263,33.3313,Europe,0.035243333333333265,B
Q4680158,36.525,34.05416667,Europe,0.04066111100000001,B
Q6580884,37.4939,33.0192,Europe,0.024839999999999904,B
Q6671120,36.51666667,33.98333333,Europe,0.04302222233333334,B
Q7684869,36.65,34.03333333,Europe,0.04135555566666677,B
Q8079507,36.6833,34.1,Europe,0.03913333333333332,B
Q14906213,36.52888889,34.22277778,Europe,0.03504074066666665,B
Q15216608,36.5427946,34.102335,Europe,0.039055500000000146,B
Q15263913,36.52138889,34.12611111,Europe,0.03826296300000014,B
Q15437964,36.566666666,34.166666666,Europe,0.036911111133333445,B
Q15949956,36.5833,34.2,Europe,0.035799999999999936,B
Q16963933,36.635194444,34.110138888,Europe,0.03879537039999998,B
Q18639251,36.5167,33.95,Europe,0.04413333333333327,B
Q20717624,37.348569,33.361453,Europe,0.03624843333333322,B
Q28220834,36.514444444,34.153333333,Europe,0.037355555566666726,B
Q51078176,36.626388888,34.130277777,Europe,0.03812407409999992,B
Q61829627,36.5805223,33.9247942,Europe,0.044973526666666666,B
Q84314689,36.581778,34.07375,Europe,0.040008333333333465,B
Q192522,37.6675,32.828333333,Europe,0.01847777776666676,B
Q6099672,37.75183,32.86478,Europe,0.019692666666666747,B
Q7200658,34.4,35.9,Arab States,0.02086666666666659,B
Q21571624,34.392222222,35.851944444,Arab States,0.019264814799999877,B
Q65088824,37.662456,34.226824,Europe,0.03490586666666668,B
Q98115862,37.6225,33.029444444,Europe,0.025181481466666614,B
Q132559332,37.871944444,32.492222222,Europe,0.007274074066666719,A
Q137170059,37.7758179,33.8152657,Europe,0.04862447666666678,B
Q137170060,37.8802,33.2176,Europe,0.03145333333333322,B
Q653936,34.812222,35.970556,Arab States,0.023218533333333367,B
Q906516,35.151111,35.949167,Europe,0.02250556666666673,B
Q2402214,35.306318,35.922203,Europe,0.021606766666666742,B
Q3398568,34.708056,35.986111,Arab States,0.023737033333333338,B
Q6761811,34.756944,36.294444,Arab States,0.03401479999999992,B
Q7697529,35.3717,35.9364,Europe,0.022079999999999936,B
Q21581396,34.617222222,36.408611111,Arab States,0.037820370366666606,B
Q21581402,34.620555555,36.409722222,Arab States,0.037857407399999946,B
Q21581400,34.607777777,36.422222222,Arab States,0.038274074066666705,B
Q21581511,34.632777777,36.304166666,Arab States,0.03433888886666665,B
Q21581515,34.628611111,36.315,Arab States,0.03469999999999989,B
Q21581516,34.635,36.320833333,Arab States,0.03489444443333341,B
Q21581531,34.636944444,36.298055555,Arab States,0.03413518516666656,B
Q21581535,34.646666666,36.335833333,Arab States,0.035394444433333186,B
Q56293222,34.75,36.25,Arab States,0.0325333333333333,B
Q277531,35.595833,36.057222,Europe,0.02610740000000007,B
Q386756,35.742646,36.330543,Europe,0.035218099999999926,B
Q1132299,35.6925,36.48527778,Europe,0.04037592599999987,B
Q4119291,35.847777,35.824785,Europe,0.01835949999999992,B
Q6832851,35.508114,36.086934,Europe,0.02709779999999995,B
Q14032965,35.7333,36.3333,Europe,0.035310000000000015,B
Q17375245,35.498056,36.447778,Europe,0.039125933333333286,B
Q111474786,35.853611111,36.352222222,Europe,0.03594074073333336,B
Q202873,34.525,36.24166667,Arab States,0.032255555666666665,B
Q6359032,34.364333333,36.415833333,Arab States,0.03806111110000003,B
Q15949791,34.597222222,36.038888888,Arab States,0.025496296266666718,B
Q21564288,34.3775,36.336666666,Arab States,0.03542222219999994,B
Q21564358,34.615277777,36.296388888,Arab States,0.034079629600000064,B
Q21565321,34.400277777,36.314444444,Arab States,0.03468148146666673,B
Q21581158,34.625277777,36.124444444,Arab States,0.02834814813333324,B
Q21581457,34.608888888,36.271944444,Arab States,0.03326481479999994,B
Q21581493,34.624166666,36.367777777,Arab States,0.036459259233333326,B
Q21581595,34.537777777,36.376666666,Arab States,0.03675555553333325,B
Q21581682,34.427777777,36.503333333,Arab States,0.040977777766666654,B
Q21581690,34.445277777,36.469722222,Arab States,0.03985740740000002,B
Q21581705,34.454444444,36.404444444,Arab States,0.03768148146666661,B
Q21581722,34.379722222,36.502777777,Arab States,0.04095925923333325,B
Q21581732,34.364722222,36.474722222,Arab States,0.04002407406666653,B
Q290054,34.835278,35.9075,Arab States,0.0211166666666666,B
Q377802,34.856111111,35.858333333,Arab States,0.019477777766666548,B
Q2637191,34.5306,36.0468,Arab States,0.025759999999999887,B
Q4701323,34.540278,36.088611,Arab States,0.02715369999999998,B
Q21566144,34.451666666,35.9925,Arab States,0.02394999999999996,B
Q21571611,34.471388888,35.984444444,Arab States,0.023681481466666553,B
Q21576457,34.401388888,36.059444444,Arab States,0.02618148146666665,B
Q21581304,34.445,35.887777777,Arab States,0.02045925923333319,B
Q90309498,34.50469,35.954341,Arab States,0.022678033333333285,B
Q1030058,35.267777777,36.566666666,Europe,0.043088888866666744,B
Q10310736,35.20136111,36.62969444,Europe,0.04518981466666669,B
Q211162,35.4173,36.4015,Europe,0.03758333333333326,B
