# owtrad_routes.csv — OWTRAD Silk Road route network (edge list)
# DO NOT HAND-EDIT. Regenerate: python3 data/scripts/fetch_owtrad_silk_road.py
# Generated: 2026-04-27T04:51:52Z
# Source: Ciolek, T.M. (2004+). OWTRAD Project. www.ciolek.com/owtrad.html
# Datasets attempted: tmcXMEm1400, tmcTRm1200a, tmcTRm1200b, tmcTRm1300, tmcIRa0100, tmcIRa0500, tmcZCAm0200, tmcZCAm0600, tmcZCAm0800, tmcZCAm1000, tmcZCAm1000a, tmcTMm1100, tmcTJm0400a, tmcTJm0400b, tmcKGa0100a, tmcKGa0100b, tmcKGa0100c, tmcKGa0100e, tmcZMEm1300, tmcINm1550, tmcCNm1000, tmcCNm0620, tmcCNm0680a, tmcCNm0680b, tmcCNm0680c, tmcCNm1500, tmcCNm1700, tmcCNm1850, tmcCNm1920, tmcKHm1200, tmcKGa0100d
# Licence: Open Publication License v1.0
# N = 1946 edges
dataset,lon1,lat1,lon2,lat2,node1,node2,country1,country2
tmcTRm1200a,34.214700,41.513900,34.466700,41.633300,loc19-tmc050521,loc20-tmc050521,TR,TR
tmcTRm1200a,34.466700,41.633300,34.766700,41.468900,loc20-tmc050521,frk02-tmc050521,TR,TR
tmcTRm1200a,34.766700,41.468900,35.150002,42.016666,frk02-tmc050521,Sinop,TR,TR
tmcTRm1200a,34.766700,41.468900,35.662200,40.970600,frk02-tmc050521,frk03-tmc050521,TR,TR
tmcTRm1200a,35.662200,40.970600,36.330000,41.286700,frk03-tmc050521,Samsun,TR,TR
tmcTRm1200a,35.662200,40.970600,35.833100,40.653300,frk03-tmc050521,Amasya,TR,TR
tmcTRm1200a,35.833100,40.653300,35.916700,40.566700,Amasya,loc21-tmc050521,TR,TR
tmcTRm1200a,35.916700,40.566700,36.139200,40.569700,loc21-tmc050521,loc22-tmc050521,TR,TR
tmcTRm1200a,36.139200,40.569700,36.081100,40.387500,loc22-tmc050521,loc23-tmc050521,TR,TR
tmcTRm1200a,36.081100,40.387500,36.554400,40.313900,loc23-tmc050521,Tokat,TR,TR
